"id","model_run_batch","task_id","work_no","sale_order_no","order_no","order_need_num","plan_no","work_order_no","batch_no","dispatch_order_no","procedure_id","procedure_code","procedure_name","procedure_content","procedure_order","procedure_plan_preparation_time","procedure_plan_work_time","receive_id","receive_time","receive_name","product_id","product_code","product_name","order_type","task_num","report_num","plan_start_time","plan_end_time","real_start_time","real_end_time","jockey_id","jockey_no","jockey_name","equipment_ids","equipment_speed_range","equipment_unit_process_energy","equipment_unit_idle_energy","work_center_id","work_center_code","work_center_name","line_id","line_code","line_name","remark","del_flag","create_id","create_name","create_time","update_id","update_name","update_time"
"1","20240905","1001","W001","SO001","ORD001","100","P001","WO001","B001","D001","1","101","下料","原材料下料切割","1","30","120","1001","9/3/2024 08:00:00","张三","1001","PROD001","轴承座","2","4","0","9/3/2024 08:30:00","9/3/2024 10:30:00","9/3/2024 08:30:00","9/3/2024 10:30:00","101","J001","李师傅","1;7;15","1-4","5.5","2.1","1001","WC01","机加工中心1","2001","LINE01","生产线1","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"2","20240905","1002","W002","SO001","ORD001","100","P001","WO001","B001","D002","2","102","粗加工","工件粗加工成型","2","20","90","1002","9/3/2024 08:03:00","李四","1001","PROD001","轴承座","2","4","0","9/3/2024 11:00:00","9/3/2024 12:30:00","9/3/2024 11:00:00","9/3/2024 12:30:00","102","J002","王师傅","2;8","1-3","4.2","1.8","1002","WC02","机加工中心2","2001","LINE01","生产线1","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"3","20240905","1003","W003","SO001","ORD001","100","P001","WO001","B001","D003","3","103","精加工","工件精密加工","3","15","75","1003","9/3/2024 08:06:00","赵五","1001","PROD001","轴承座","2","4","0","9/3/2024 13:00:00","9/3/2024 14:15:00","9/3/2024 13:00:00","9/3/2024 14:15:00","103","J003","刘师傅","3;9;16","1-4","3.8","1.5","1003","WC03","精密加工中心","2001","LINE01","生产线1","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"4","20240905","1004","W004","SO001","ORD001","100","P001","WO001","B001","D004","4","106","检验包装","成品检验包装","4","20","30","1006","9/3/2024 08:15:00","周八","1001","PROD001","轴承座","2","4","0","9/3/2024 17:00:00","9/3/2024 17:30:00","9/3/2024 17:00:00","9/3/2024 17:30:00","106","J006","郑师傅","6;12","1-2","1","0.5","1006","WC06","检验包装中心","2002","LINE02","生产线2","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"5","20240905","2001","W005","SO002","ORD002","150","P002","WO002","B002","D005","1","101","下料","原材料下料切割","1","30","120","1007","9/3/2024 08:22:00","张三","1002","PROD002","法兰盘","2","4","0","9/3/2024 08:30:00","9/3/2024 10:30:00","9/3/2024 08:30:00","9/3/2024 10:30:00","101","J001","李师傅","1;7;15","1-4","5.5","2.1","1001","WC01","机加工中心1","2001","LINE01","生产线1","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"6","20240905","2002","W006","SO002","ORD002","150","P002","WO002","B002","D006","2","102","粗加工","工件粗加工成型","2","20","90","1008","9/3/2024 08:25:00","李四","1002","PROD002","法兰盘","2","4","0","9/3/2024 11:00:00","9/3/2024 12:30:00","9/3/2024 11:00:00","9/3/2024 12:30:00","102","J002","王师傅","2;8","1-3","4.2","1.8","1002","WC02","机加工中心2","2001","LINE01","生产线1","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"7","20240905","2003","W007","SO002","ORD002","150","P002","WO002","B002","D007","3","103","精加工","工件精密加工","3","15","75","1009","9/3/2024 08:28:00","赵五","1002","PROD002","法兰盘","2","4","0","9/3/2024 13:00:00","9/3/2024 14:15:00","9/3/2024 13:00:00","9/3/2024 14:15:00","103","J003","刘师傅","3;9;16","1-4","3.8","1.5","1003","WC03","精密加工中心","2001","LINE01","生产线1","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"8","20240905","2004","W008","SO002","ORD002","150","P002","WO002","B002","D008","4","106","检验包装","成品检验包装","4","20","30","1012","9/3/2024 08:37:00","周八","1002","PROD002","法兰盘","2","4","0","9/3/2024 17:00:00","9/3/2024 17:30:00","9/3/2024 17:00:00","9/3/2024 17:30:00","106","J006","郑师傅","6;12","1-2","1","0.5","1006","WC06","检验包装中心","2002","LINE02","生产线2","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"9","20240905","3001","W009","SO003","ORD003","200","P003","WO003","B003","D009","1","101","下料","原材料下料切割","1","30","120","1013","9/3/2024 08:45:00","张三","1003","PROD003","连接器","2","4","0","10/3/2024 08:30:00","10/3/2024 10:30:00","10/3/2024 08:30:00","10/3/2024 10:30:00","101","J001","李师傅","1;7;15","1-4","5.5","2.1","1001","WC01","机加工中心1","2001","LINE01","生产线1","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
"10","20240905","3002","W010","SO003","ORD003","200","P003","WO003","B003","D010","2","102","粗加工","工件粗加工成型","2","20","90","1014","9/3/2024 08:48:00","李四","1003","PROD003","连接器","2","4","0","10/3/2024 11:00:00","10/3/2024 12:30:00","10/3/2024 11:00:00","10/3/2024 12:30:00","102","J002","王师傅","2;8","1-3","4.2","1.8","1002","WC02","机加工中心2","2001","LINE01","生产线1","","0","1","admin","9/3/2024 08:00:00","1","admin","9/3/2024 08:00:00"
